SN;matrix;technique;Mitigation;Efficiency
492;Enterprise;Communication Through Removable Media;Disable or Remove Feature or Program;0.5
493;Enterprise;Compiled HTML File;Restrict Web-Based Content;0.5
494;Enterprise;Compiled HTML File;Execution Prevention;0.5
495;Enterprise;Proxy;Network Intrusion Prevention;0.5
496;Enterprise;Control Panel Items;Restrict File and Directory Permissions;0.5
497;Enterprise;Create Account;Privileged Account Management;0.5
498;Enterprise;Create Account;Network Segmentation;0.5
499;Enterprise;Create Account;Multi-factor Authentication;0.5
500;Enterprise;OS Credential Dumping;Privileged Account Management;0.5
501;Enterprise;OS Credential Dumping;Password Policies;0.5
502;Enterprise;OS Credential Dumping;Credential Access Protection;0.5
503;Enterprise;Credentials in Files;Active Directory Configuration;0.5
504;Enterprise;Credentials in Registry;Audit;0.5
505;Enterprise;Custom Command and Control Protocol;Network Segmentation;0.5
506;Enterprise;Custom Command and Control Protocol;Network Intrusion Prevention;0.5
507;Enterprise;Custom Cryptographic Protocol;Network Intrusion Prevention;0.5
508;Enterprise;Data Compressed;Network Intrusion Prevention;0.5
509;Enterprise;Data Encoding;Network Intrusion Prevention;0.5
510;Enterprise;PowerShell Profile;Restrict File and Directory Permissions;0.5
511;Enterprise;Endpoint Denial of Service;Filter Network Traffic;0.5
512;Enterprise;Native API;Execution Prevention;0.5
513;Enterprise;Exfiltration Over C2 Channel;Network Intrusion Prevention;0.5
514;Enterprise;Exfiltration Over Physical Medium;Disable or Remove Feature or Program;0.5
515;Enterprise;Dylib Hijacking;Restrict File and Directory Permissions;0.5
516;Enterprise;Domain Trust Discovery;Network Segmentation;0.5
517;Enterprise;Domain Trust Discovery;Audit;0.5
518;Enterprise;Domain Generation Algorithms;Network Intrusion Prevention;0.5
519;Enterprise;Domain Fronting;SSL/TLS Inspection;0.5
520;Enterprise;DLL Side-Loading;Restrict File and Directory Permissions;0.5
521;Enterprise;DLL Side-Loading;Update Software;0.5
522;Enterprise;Firmware Corruption;Update Software;0.5
523;Enterprise;Firmware Corruption;Privileged Account Management;0.5
524;Enterprise;Firmware Corruption;Boot Integrity;0.5
525;Enterprise;Network Denial of Service;Filter Network Traffic;0.5
526;Enterprise;Runtime Data Manipulation;Restrict File and Directory Permissions;0.5
527;Enterprise;Service Stop;Restrict Registry Permissions;0.5
528;Enterprise;Service Stop;Restrict File and Directory Permissions;0.5
529;Enterprise;Service Stop;Network Segmentation;0.5
530;Enterprise;Stored Data Manipulation;Remote Data Storage;0.5
531;Enterprise;Stored Data Manipulation;Encrypt Sensitive Information;0.5
532;Enterprise;Transmitted Data Manipulation;Encrypt Sensitive Information;0.5
533;Enterprise;Data from Information Repositories;User Training;0.5
534;Enterprise;Data from Information Repositories;Audit;0.5
535;Enterprise;XSL Script Processing;Execution Prevention;0.5
536;Enterprise;Windows Remote Management;Network Segmentation;0.5
537;Enterprise;Windows Remote Management;Disable or Remove Feature or Program;0.5
538;Enterprise;Windows Management Instrumentation Event Subscription;User Account Management;0.5
539;Enterprise;Windows Management Instrumentation Event Subscription;Privileged Account Management;0.5
540;Enterprise;Email Collection;Multi-factor Authentication;0.5
541;Enterprise;Email Collection;Encrypt Sensitive Information;0.5
542;Enterprise;Winlogon Helper DLL;Execution Prevention;0.5
543;Enterprise;Windows Management Instrumentation;Privileged Account Management;0.5
544;Enterprise;Man in the Browser;User Training;0.5
545;Enterprise;Windows Admin Shares;Privileged Account Management;0.5
546;Enterprise;Windows Admin Shares;Password Policies;0.5
547;Enterprise;Data Obfuscation;Network Intrusion Prevention;0.5
548;Enterprise;Web Shell;Update Software;0.5
549;Enterprise;Web Shell;Privileged Account Management;0.5
550;Enterprise;Fallback Channels;Network Intrusion Prevention;0.5
551;Enterprise;Web Service;Network Intrusion Prevention;0.5
552;Enterprise;Multi-Stage Channels;Network Intrusion Prevention;0.5
553;Enterprise;Multi-hop Proxy;Filter Network Traffic;0.5
554;Enterprise;Multiband Communication;Network Intrusion Prevention;0.5
555;Enterprise;Multilayer Encryption;Network Intrusion Prevention;0.5
556;Enterprise;Remote Access Software;Network Intrusion Prevention;0.5
557;Enterprise;Ingress Tool Transfer;Network Intrusion Prevention;0.5
558;Enterprise;Application Layer Protocol;Network Intrusion Prevention;0.5
559;Enterprise;Standard Cryptographic Protocol;Network Intrusion Prevention;0.5
560;Enterprise;Non-Application Layer Protocol;Network Segmentation;0.5
561;Enterprise;Non-Application Layer Protocol;Network Intrusion Prevention;0.5
562;Enterprise;Uncommonly Used Port;Network Intrusion Prevention;0.5
563;Enterprise;Valid Accounts;Privileged Account Management;0.5
564;Enterprise;Valid Accounts;Password Policies;0.5
565;Enterprise;User Execution;User Training;0.5
566;Enterprise;User Execution;Restrict Web-Based Content;0.5
567;Enterprise;User Execution;Execution Prevention;0.5
568;Enterprise;User Execution;Network Intrusion Prevention;0.5
569;Enterprise;Two-Factor Authentication Interception;User Training;0.5
570;Enterprise;Trusted Relationship;User Account Control;0.5
571;Enterprise;Trusted Relationship;Network Segmentation;0.5
572;Enterprise;Trusted Developer Utilities Proxy Execution;Execution Prevention;0.5
573;Enterprise;Trusted Developer Utilities Proxy Execution;Disable or Remove Feature or Program;0.5
574;Enterprise;Software Deployment Tools;User Training;0.5
575;Enterprise;Software Deployment Tools;Update Software;0.5
576;Enterprise;Software Deployment Tools;Remote Data Storage;0.5
577;Enterprise;Software Deployment Tools;Network Segmentation;0.5
578;Enterprise;Taint Shared Content;Restrict File and Directory Permissions;0.5
579;Enterprise;Taint Shared Content;Exploit Protection;0.5
580;Enterprise;Taint Shared Content;Execution Prevention;0.5
581;Enterprise;Systemd Service;Restrict File and Directory Permissions;0.5
582;Enterprise;Systemd Service;Limit Software Installation;0.5
583;Enterprise;System Firmware;Privileged Account Management;0.5
584;Enterprise;System Firmware;Update Software;0.5
585;Enterprise;System Firmware;Boot Integrity;0.5
586;Enterprise;Supply Chain Compromise;Vulnerability Scanning;0.5
587;Enterprise;Supply Chain Compromise;Update Software;0.5
588;Enterprise;Sudo;Restrict File and Directory Permissions;0.5
589;Enterprise;Sudo;Privileged Account Management;0.5
590;Enterprise;Startup Items;Restrict File and Directory Permissions;0.5
591;Enterprise;SSH Hijacking;User Account Control;0.5
592;Enterprise;SSH Hijacking;Restrict File and Directory Permissions;0.5
593;Enterprise;SSH Hijacking;Privileged Account Management;0.5
594;Enterprise;SSH Hijacking;Password Policies;0.5
595;Enterprise;SSH Hijacking;Disable or Remove Feature or Program;0.5
596;Enterprise;Spearphishing via Service;User Training;0.5
597;Enterprise;Spearphishing via Service;Restrict Web-Based Content;0.5
598;Enterprise;Spearphishing via Service;Antivirus/Antimalware;0.5
599;Enterprise;Spearphishing Link;User Training;0.5
600;Enterprise;Spearphishing Attachment;User Training;0.5
601;Enterprise;Spearphishing Attachment;Restrict Web-Based Content;0.5
602;Enterprise;Spearphishing Attachment;Antivirus/Antimalware;0.5
603;Enterprise;Spearphishing Attachment;Network Intrusion Prevention;0.5
604;Enterprise;Software Packing;Antivirus/Antimalware;0.5
605;Enterprise;SIP and Trust Provider Hijacking;Restrict Registry Permissions;0.5
606;Enterprise;SIP and Trust Provider Hijacking;Restrict File and Directory Permissions;0.5
607;Enterprise;SIP and Trust Provider Hijacking;Execution Prevention;0.5
608;Enterprise;Signed Script Proxy Execution;Execution Prevention;0.5
609;Enterprise;SID-History Injection;Active Directory Configuration;0.5
610;Enterprise;Shared Webroot;Restrict File and Directory Permissions;0.5
611;Enterprise;Shared Webroot;Network Segmentation;0.5
612;Enterprise;Shared Webroot;Limit Access to Resource Over Network;0.5
613;Enterprise;Data Transfer Size Limits;Network Intrusion Prevention;0.5
614;Enterprise;Exfiltration Over Alternative Protocol;Network Segmentation;0.5
615;Enterprise;Exfiltration Over Alternative Protocol;Network Intrusion Prevention;0.5
616;Enterprise;Setuid and Setgid;Operating System Configuration;0.5
617;Enterprise;Service Registry Permissions Weakness;Restrict Registry Permissions;0.5
618;Enterprise;Service Execution;Privileged Account Management;0.5
619;Enterprise;Security Support Provider;Privileged Process Integrity;0.5
620;Enterprise;Scheduled Transfer;Network Intrusion Prevention;0.5
621;Enterprise;Time Providers;Restrict File and Directory Permissions;0.5
622;Enterprise;Sudo Caching;Operating System Configuration;0.5
623;Enterprise;Sudo Caching;Privileged Account Management;0.5
624;Enterprise;DLL Search Order Hijacking;Audit;0.5
625;Enterprise;DLL Search Order Hijacking;Restrict Library Loading;0.5
626;Enterprise;DLL Search Order Hijacking;Execution Prevention;0.5
627;Enterprise;Drive-by Compromise;Update Software;0.5
628;Enterprise;Drive-by Compromise;Restrict Web-Based Content;0.5
629;Enterprise;Drive-by Compromise;Application Isolation and Sandboxing;0.5
630;Enterprise;Drive-by Compromise;Exploit Protection;0.5
631;Enterprise;Dynamic Data Exchange;Disable or Remove Feature or Program;0.5
632;Enterprise;Dynamic Data Exchange;Behavior Prevention on Endpoint;0.5
633;Enterprise;Dynamic Data Exchange;Application Isolation and Sandboxing;0.5
634;Enterprise;Scripting;Disable or Remove Feature or Program;0.5
635;Enterprise;Scripting;Application Isolation and Sandboxing;0.5
636;Enterprise;Exploit Public-Facing Application;Update Software;0.5
637;Enterprise;Exploit Public-Facing Application;Application Isolation and Sandboxing;0.5
638;Enterprise;Exploit Public-Facing Application;Privileged Account Management;0.5
639;Enterprise;Exploit Public-Facing Application;Network Segmentation;0.5
640;Enterprise;Screensaver;Execution Prevention;0.5
641;Enterprise;Screensaver;Disable or Remove Feature or Program;0.5
642;Enterprise;Exploitation for Client Execution;Exploit Protection;0.5
643;Enterprise;Exploitation for Client Execution;Application Isolation and Sandboxing;0.5
644;Enterprise;Exploitation for Credential Access;Update Software;0.5
645;Enterprise;Exploitation for Credential Access;Threat Intelligence Program;0.5
646;Enterprise;Exploitation for Credential Access;Exploit Protection;0.5
647;Enterprise;Exploitation for Credential Access;Application Isolation and Sandboxing;0.5
648;Enterprise;Exploitation for Defense Evasion;Update Software;0.5
649;Enterprise;Exploitation for Defense Evasion;Exploit Protection;0.5
650;Enterprise;Exploitation for Defense Evasion;Threat Intelligence Program;0.5
651;Enterprise;Exploitation for Defense Evasion;Application Isolation and Sandboxing;0.5
652;Enterprise;Exploitation for Privilege Escalation;Update Software;0.5
653;Enterprise;Exploitation for Privilege Escalation;Threat Intelligence Program;0.5
654;Enterprise;Exploitation for Privilege Escalation;Exploit Protection;0.5
655;Enterprise;Exploitation for Privilege Escalation;Application Isolation and Sandboxing;0.5
656;Enterprise;Exploitation of Remote Services;Vulnerability Scanning;0.5
657;Enterprise;Exploitation of Remote Services;Update Software;0.5
658;Enterprise;Exploitation of Remote Services;Threat Intelligence Program;0.5
659;Enterprise;Exploitation of Remote Services;Privileged Account Management;0.5
660;Enterprise;Exploitation of Remote Services;Network Segmentation;0.5
661;Enterprise;Exploitation of Remote Services;Exploit Protection;0.5
662;Enterprise;Exploitation of Remote Services;Disable or Remove Feature or Program;0.5
663;Enterprise;Exploitation of Remote Services;Application Isolation and Sandboxing;0.5
664;Enterprise;Component Object Model and Distributed COM;Privileged Account Management;0.5
665;Enterprise;Component Object Model and Distributed COM;Network Segmentation;0.5
666;Enterprise;Component Object Model and Distributed COM;Application Isolation and Sandboxing;0.5
667;Enterprise;Component Object Model and Distributed COM;Disable or Remove Feature or Program;0.5
668;Enterprise;Boot or Logon Initialization Scripts;Restrict File and Directory Permissions;0.5
669;Enterprise;Pass the Hash;User Account Control;0.5
670;Enterprise;Pass the Hash;Privileged Account Management;0.5
671;Enterprise;Pass the Hash;Password Policies;0.5
672;Enterprise;Pass the Ticket;Privileged Account Management;0.5
673;Enterprise;Pass the Ticket;Password Policies;0.5
674;Enterprise;Remote Desktop Protocol;Privileged Account Management;0.5
675;Enterprise;Remote Desktop Protocol;Operating System Configuration;0.5
676;Enterprise;Remote Desktop Protocol;Network Segmentation;0.5
677;Enterprise;Remote Desktop Protocol;Multi-factor Authentication;0.5
678;Enterprise;Remote Desktop Protocol;Disable or Remove Feature or Program;0.5
679;Enterprise;Remote Desktop Protocol;Audit;0.5
680;Enterprise;Remote Services;Multi-factor Authentication;0.5
681;Enterprise;Replication Through Removable Media;Disable or Remove Feature or Program;0.5
682;Enterprise;Network Sniffing;Multi-factor Authentication;0.5
683;Enterprise;Network Sniffing;Encrypt Sensitive Information;0.5
684;Enterprise;Password Policy Discovery;Password Policies;0.5
685;Enterprise;AppInit DLLs;Update Software;0.5
686;Enterprise;Command and Scripting Interpreter;Execution Prevention;0.5
687;Enterprise;Disabling Security Tools;Restrict File and Directory Permissions;0.5
688;Enterprise;Rundll32;Exploit Protection;0.5
689;Enterprise;Regsvr32;Exploit Protection;0.5
690;Enterprise;Regsvcs/Regasm;Disable or Remove Feature or Program;0.5
691;Enterprise;File System Permissions Weakness;User Account Control;0.5
692;Enterprise;File System Permissions Weakness;Audit;0.5
693;Enterprise;Forced Authentication;Password Policies;0.5
694;Enterprise;Forced Authentication;Filter Network Traffic;0.5
695;Enterprise;Redundant Access;Network Intrusion Prevention;0.5
696;Enterprise;Re-opened Applications;User Training;0.5
697;Enterprise;Re-opened Applications;Disable or Remove Feature or Program;0.5
698;Enterprise;Private Keys;Restrict File and Directory Permissions;0.5
699;Enterprise;Private Keys;Password Policies;0.5
700;Enterprise;Private Keys;Network Segmentation;0.5
701;Enterprise;Private Keys;Audit;0.5
702;Enterprise;PowerShell;Disable or Remove Feature or Program;0.5
703;Enterprise;Plist Modification;Restrict File and Directory Permissions;0.5
704;Enterprise;Path Interception;Restrict File and Directory Permissions;0.5
705;Enterprise;Path Interception;Execution Prevention;0.5
706;Enterprise;Path Interception;Audit;0.5
707;Enterprise;Office Application Startup;Disable or Remove Feature or Program;0.5
708;Enterprise;Obfuscated Files or Information;Antivirus/Antimalware;0.5
709;Enterprise;NTFS File Attributes;Restrict File and Directory Permissions;0.5
710;Enterprise;Network Service Scanning;Network Intrusion Prevention;0.5
711;Enterprise;Network Service Scanning;Disable or Remove Feature or Program;0.5
712;Enterprise;Mshta;Disable or Remove Feature or Program;0.5
713;Enterprise;Mshta;Execution Prevention;0.5
714;Enterprise;Modify Registry;Restrict Registry Permissions;0.5
715;Enterprise;Modify Existing Service;Audit;0.5
716;Enterprise;Masquerading;Restrict File and Directory Permissions;0.5
717;Enterprise;Masquerading;Code Signing;0.5
718;Enterprise;LSASS Driver;Restrict Library Loading;0.5
719;Enterprise;LSASS Driver;Code Signing;0.5
720;Enterprise;Login Item;User Training;0.5
721;Enterprise;LLMNR/NBT-NS Poisoning and Relay;Filter Network Traffic;0.5
722;Enterprise;LLMNR/NBT-NS Poisoning and Relay;Disable or Remove Feature or Program;0.5
723;Enterprise;LC_MAIN Hijacking;Code Signing;0.5
724;Enterprise;LC_LOAD_DYLIB Addition;Code Signing;0.5
725;Enterprise;LC_LOAD_DYLIB Addition;Audit;0.5
726;Enterprise;Kernel Modules and Extensions;Execution Prevention;0.5
727;Enterprise;Kernel Modules and Extensions;Antivirus/Antimalware;0.5
728;Enterprise;Kerberoasting;Privileged Account Management;0.5
729;Enterprise;Kerberoasting;Encrypt Sensitive Information;0.5
730;Enterprise;Kerberoasting;Password Policies;0.5
731;Enterprise;InstallUtil;Disable or Remove Feature or Program;0.5
732;Enterprise;InstallUtil;Execution Prevention;0.5
733;Enterprise;Input Prompt;User Training;0.5
734;Enterprise;Indicator Removal on Host;Remote Data Storage;0.5
735;Enterprise;Indicator Removal on Host;Encrypt Sensitive Information;0.5
736;Enterprise;Indicator Removal on Host;Restrict File and Directory Permissions;0.5
737;Enterprise;Indicator Blocking;Restrict File and Directory Permissions;0.5
738;Enterprise;HISTCONTROL;Environment Variable Permissions;0.5
739;Enterprise;HISTCONTROL;Operating System Configuration;0.5
740;Enterprise;Hidden Users;Operating System Configuration;0.5
741;Enterprise;Hardware Additions;Limit Hardware Installation;0.5
742;Enterprise;Hardware Additions;Limit Access to Resource Over Network;0.5
743;Enterprise;Group Policy Modification;Audit;0.5
744;Enterprise;Gatekeeper Bypass;Execution Prevention;0.5
745;Enterprise;Template Injection;User Training;0.5
746;Enterprise;Template Injection;Network Intrusion Prevention;0.5
747;Enterprise;Template Injection;Disable or Remove Feature or Program;0.5
748;Enterprise;Template Injection;Antivirus/Antimalware;0.5
749;Enterprise;Credentials from Web Browsers;Password Policies;0.5
750;Enterprise;Server Software Component;Code Signing;0.5
751;Enterprise;Server Software Component;Privileged Account Management;0.5
752;Enterprise;Access Token Manipulation;User Account Management;0.5
753;Enterprise;Accessibility Features;Execution Prevention;0.5
754;Enterprise;AppCert DLLs;Execution Prevention;0.5
755;Enterprise;AppInit DLLs;Execution Prevention;0.5
756;Enterprise;Application Deployment Software;Multi-factor Authentication;0.5
757;Enterprise;Application Deployment Software;Privileged Account Management;0.5
758;Enterprise;Application Shimming;Update Software;0.5
759;Enterprise;Bash History;Operating System Configuration;0.5
760;Enterprise;BITS Jobs;User Account Management;0.5
761;Enterprise;Bypass User Account Control;Audit;0.5
762;Enterprise;Commonly Used Port;Network Segmentation;0.5
763;Enterprise;Communication Through Removable Media;Operating System Configuration;0.5
764;Enterprise;Control Panel Items;Execution Prevention;0.5
765;Enterprise;Create Account;Operating System Configuration;0.5
766;Enterprise;OS Credential Dumping;User Training;0.5
767;Enterprise;OS Credential Dumping;Active Directory Configuration;0.5
768;Enterprise;OS Credential Dumping;Privileged Process Integrity;0.5
769;Enterprise;OS Credential Dumping;Operating System Configuration;0.5
770;Enterprise;Credentials in Files;Restrict File and Directory Permissions;0.5
771;Enterprise;Credentials in Files;Audit;0.5
772;Enterprise;Credentials in Files;User Training;0.5
773;Enterprise;Credentials in Files;Password Policies;0.5
774;Enterprise;Credentials in Registry;Privileged Account Management;0.5
775;Enterprise;Credentials in Registry;Password Policies;0.5
776;Enterprise;Custom Command and Control Protocol;Filter Network Traffic;0.5
777;Enterprise;Data from Information Repositories;User Account Management;0.5
778;Enterprise;Disabling Security Tools;User Account Management;0.5
779;Enterprise;Winlogon Helper DLL;User Account Management;0.5
780;Enterprise;DLL Side-Loading;Audit;0.5
781;Enterprise;Domain Fronting;Execution Prevention;0.5
782;Enterprise;Domain Generation Algorithms;Restrict Web-Based Content;0.5
783;Enterprise;Windows Remote Management;Privileged Account Management;0.5
784;Enterprise;Dylib Hijacking;User Account Management;0.5
785;Enterprise;Windows Management Instrumentation;User Account Management;0.5
786;Enterprise;Shared Modules;Execution Prevention;0.5
787;Enterprise;Exfiltration Over Alternative Protocol;Filter Network Traffic;0.5
788;Enterprise;Exfiltration Over Other Network Medium;Operating System Configuration;0.5
789;Enterprise;Exploit Public-Facing Application;Exploit Protection;0.5
790;Enterprise;Exploit Public-Facing Application;Vulnerability Scanning;0.5
791;Enterprise;Uncommonly Used Port;Network Segmentation;0.5
792;Enterprise;External Remote Services;Limit Access to Resource Over Network;0.5
793;Enterprise;External Remote Services;Network Segmentation;0.5
794;Enterprise;External Remote Services;Disable or Remove Feature or Program;0.5
795;Enterprise;External Remote Services;Multi-factor Authentication;0.5
796;Enterprise;File System Permissions Weakness;User Account Management;0.5
797;Enterprise;Group Policy Modification;User Account Management;0.5
798;Enterprise;Time Providers;Restrict Registry Permissions;0.5
799;Enterprise;Indicator Blocking;User Account Management;0.5
800;Enterprise;Inhibit System Recovery;Operating System Configuration;0.5
801;Enterprise;Install Root Certificate;Operating System Configuration;0.5
802;Enterprise;Kernel Modules and Extensions;Privileged Account Management;0.5
803;Enterprise;Keychain;Password Policies;0.5
804;Enterprise;Launch Agent;User Account Management;0.5
805;Enterprise;Launch Daemon;User Account Management;0.5
806;Enterprise;Launchctl;User Account Management;0.5
807;Enterprise;LC_LOAD_DYLIB Addition;Execution Prevention;0.5
808;Enterprise;Local Job Scheduling;User Account Management;0.5
809;Enterprise;Login Item;User Account Management;0.5
810;Enterprise;LSASS Driver;Credential Access Protection;0.5
811;Enterprise;Man in the Browser;User Account Management;0.5
812;Enterprise;Masquerading;Execution Prevention;0.5
813;Enterprise;Modify Existing Service;User Account Management;0.5
814;Enterprise;Network Service Scanning;Network Segmentation;0.5
815;Enterprise;New Service;User Account Management;0.5
816;Enterprise;Office Application Startup;Update Software;0.5
817;Enterprise;Pass the Hash;User Account Management;0.5
818;Enterprise;Pass the Hash;Update Software;0.5
819;Enterprise;Pass the Ticket;Active Directory Configuration;0.5
820;Enterprise;Pass the Ticket;User Account Management;0.5
821;Enterprise;Password Filter DLL;Operating System Configuration;0.5
822;Enterprise;Path Interception;User Account Management;0.5
823;Enterprise;Traffic Signaling;Filter Network Traffic;0.5
824;Enterprise;PowerShell;Privileged Account Management;0.5
825;Enterprise;PowerShell;Code Signing;0.5
826;Enterprise;PowerShell Profile;Code Signing;0.5
827;Enterprise;Private Keys;Encrypt Sensitive Information;0.5
828;Enterprise;Process Injection;Behavior Prevention on Endpoint;0.5
829;Enterprise;Rc.common;User Account Management;0.5
830;Enterprise;Regsvcs/Regasm;Execution Prevention;0.5
831;Enterprise;Remote Access Software;Execution Prevention;0.5
832;Enterprise;Remote Access Software;Filter Network Traffic;0.5
833;Enterprise;Remote Desktop Protocol;Limit Access to Resource Over Network;0.5
834;Enterprise;Remote Desktop Protocol;User Account Management;0.5
835;Enterprise;Remote Services;User Account Management;0.5
836;Enterprise;Replication Through Removable Media;Limit Hardware Installation;0.5
837;Enterprise;Runtime Data Manipulation;Network Segmentation;0.5
838;Enterprise;Startup Items;User Account Management;0.5
839;Enterprise;Scheduled Task/Job;Scheduled Task Mitigation;0.5
840;Enterprise;Stored Data Manipulation;Restrict File and Directory Permissions;0.5
841;Enterprise;Systemd Service;Privileged Account Management;0.5
842;Enterprise;Systemd Service;User Account Management;0.5
843;Enterprise;Software Deployment Tools;Password Policies;0.5
844;Enterprise;Software Deployment Tools;Privileged Account Management;0.5
845;Enterprise;Service Execution;Restrict File and Directory Permissions;0.5
846;Enterprise;Service Stop;User Account Management;0.5
847;Enterprise;Shared Webroot;Privileged Account Management;0.5
848;Enterprise;Shared Webroot;User Account Management;0.5
849;Enterprise;Shortcut Modification;User Account Management;0.5
850;Enterprise;Software Deployment Tools;Multi-factor Authentication;0.5
851;Enterprise;Software Deployment Tools;Active Directory Configuration;0.5
852;Enterprise;Non-Application Layer Protocol;Filter Network Traffic;0.5
853;Enterprise;Web Service;Restrict Web-Based Content;0.5
854;Enterprise;Software Deployment Tools;User Account Management;0.5
855;Enterprise;Spearphishing Link;Restrict Web-Based Content;0.5
856;Enterprise;Scheduled Task/Job;Privileged Account Management;0.5
857;Enterprise;Scheduled Task/Job;Operating System Configuration;0.5
858;Enterprise;Scheduled Task/Job;Audit;0.5
859;Enterprise;Scheduled Task/Job;User Account Management;0.5
860;Enterprise;Data Destruction;Data Backup;0.5
861;Enterprise;Data Encrypted for Impact;Data Backup;0.5
862;Enterprise;Defacement;Data Backup;0.5
863;Enterprise;Disk Content Wipe;Data Backup;0.5
864;Enterprise;Disk Structure Wipe;Data Backup;0.5
865;Enterprise;Inhibit System Recovery;Data Backup;0.5
866;Enterprise;Dynamic Data Exchange;Software Configuration;0.5
867;Enterprise;Indicator Blocking;Software Configuration;0.5
868;Enterprise;Install Root Certificate;Software Configuration;0.5
869;Enterprise;Office Application Startup;Software Configuration;0.5
870;Enterprise;PowerShell Profile;Software Configuration;0.5
871;Enterprise;Execution Guardrails;Do Not Mitigate;0.5
872;Enterprise;Standard Cryptographic Protocol;SSL/TLS Inspection;0.5
873;Enterprise;Elevated Execution with Prompt;Execution Prevention;0.5
874;Enterprise;Application Access Token;Restrict Web-Based Content;0.5
875;Enterprise;Application Access Token;Audit;0.5
876;Enterprise;Emond;Disable or Remove Feature or Program;0.5
877;Enterprise;Server Software Component;Audit;0.5
878;Enterprise;Implant Container Image;Audit;0.5
879;Enterprise;Implant Container Image;Privileged Account Management;0.5
880;Enterprise;Account Manipulation;Operating System Configuration;0.5
881;Enterprise;Email Collection;Audit;0.5
882;Enterprise;Application Access Token;Encrypt Sensitive Information;0.5
883;Enterprise;Steal Application Access Token;User Training;0.5
884;Enterprise;Data from Cloud Storage Object;User Account Management;0.5
885;Enterprise;Data from Cloud Storage Object;Multi-factor Authentication;0.5
886;Enterprise;Data from Cloud Storage Object;Encrypt Sensitive Information;0.5
887;Enterprise;Data from Cloud Storage Object;Audit;0.5
888;Enterprise;Data from Cloud Storage Object;Restrict File and Directory Permissions;0.5
889;Enterprise;Hidden Window;Execution Prevention;0.5
890;Enterprise;Steal Application Access Token;Audit;0.5
891;Enterprise;Steal Application Access Token;User Account Management;0.5
892;Enterprise;Steal Application Access Token;Restrict Web-Based Content;0.5
893;Enterprise;Valid Accounts;Application Developer Guidance;0.5
894;Enterprise;Unused/Unsupported Cloud Regions;Software Configuration;0.5
895;Enterprise;Cloud Instance Metadata API;Filter Network Traffic;0.5
896;Enterprise;Transfer Data to Cloud Account;Filter Network Traffic;0.5
897;Enterprise;Transfer Data to Cloud Account;User Account Management;0.5
898;Enterprise;Create Cloud Instance;User Account Management;0.5
899;Enterprise;Cloud Service Dashboard;User Account Management;0.5
900;Enterprise;Steal Web Session Cookie;Multi-factor Authentication;0.5
901;Enterprise;Steal Web Session Cookie;Software Configuration;0.5
902;Enterprise;Steal Web Session Cookie;User Training;0.5
903;Enterprise;Web Session Cookie;Software Configuration;0.5
904;Enterprise;Implant Container Image;Code Signing;0.5
905;Enterprise;Data from Cloud Storage Object;Filter Network Traffic;0.5
906;Enterprise;Transfer Data to Cloud Account;Password Policies;0.5
907;Enterprise;Office Test;Software Configuration;0.5
908;Enterprise;Outlook Rules;Update Software;0.5
909;Enterprise;Outlook Forms;Update Software;0.5
910;Enterprise;Outlook Home Page;Update Software;0.5
911;Enterprise;Office Template Macros;Disable or Remove Feature or Program;0.5
912;Enterprise;Pre-OS Boot;Update Software;0.5
913;Enterprise;Pre-OS Boot;Privileged Account Management;0.5
914;Enterprise;Pre-OS Boot;Boot Integrity;0.5
915;Enterprise;At (Windows);User Account Management;0.5
916;Enterprise;At (Windows);Privileged Account Management;0.5
917;Enterprise;At (Windows);Operating System Configuration;0.5
918;Enterprise;At (Windows);Audit;0.5
919;Enterprise;Scheduled Task;User Account Management;0.5
920;Enterprise;Scheduled Task;Privileged Account Management;0.5
921;Enterprise;Scheduled Task;Operating System Configuration;0.5
922;Enterprise;Scheduled Task;Audit;0.5
923;Enterprise;At (Linux);User Account Management;0.5
924;Enterprise;At (Linux);Audit;0.5
925;Enterprise;Launchd;User Account Management;0.5
926;Enterprise;Launchd;Launch Daemon Mitigation;0.5
927;Enterprise;Launchd;Audit;0.5
928;Enterprise;Cron;Audit;0.5
929;Enterprise;Cron;User Account Management;0.5
930;Enterprise;Transport Agent;Code Signing;0.5
931;Enterprise;System Firmware;Boot Integrity;0.5
932;Enterprise;System Firmware;Update Software;0.5
933;Enterprise;System Firmware;Privileged Account Management;0.5
934;Enterprise;System Firmware;System Firmware Mitigation;0.5
935;Enterprise;Component Firmware;Component Firmware Mitigation;0.5
936;Enterprise;Bootkit;Boot Integrity;0.5
937;Enterprise;Bootkit;Privileged Account Management;0.5
938;Enterprise;Transport Agent;Privileged Account Management;0.5
939;Enterprise;Transport Agent;Audit;0.5
940;Enterprise;SQL Stored Procedures;Privileged Account Management;0.5
941;Enterprise;SQL Stored Procedures;Code Signing;0.5
942;Enterprise;SQL Stored Procedures;Audit;0.5
943;Enterprise;Logon Script (Mac);Restrict File and Directory Permissions;0.5
944;Enterprise;Network Logon Script;Restrict File and Directory Permissions;0.5
945;Enterprise;Startup Items;Restrict File and Directory Permissions;0.5
946;Enterprise;Launch Agent;User Account Management;0.5
947;Enterprise;Systemd Service;User Account Management;0.5
948;Enterprise;Systemd Service;Privileged Account Management;0.5
949;Enterprise;Systemd Service;Limit Software Installation;0.5
